"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"228890_at",-2.12370598912557,3.5723075602314,-14.9684884543575,3.17083616015525e-29,1.27474608129771e-26,55.9217604468828
"230438_at",-2.87274716396832,5.64408685406612,-14.9557123152329,3.3906255729302e-29,1.35315659270043e-26,55.8555194725863
"228104_at",-3.68986041778846,3.45112093655372,-14.9520995834473,3.45550556546734e-29,1.36905628110092e-26,55.8367850909765
"232331_at",-3.10226284649434,3.28205896887603,-14.9480112353846,3.53043171331476e-29,1.38867880521931e-26,55.8155825725149
"222317_at",-5.45056865512726,4.04314613002479,-14.9462935930469,3.56239509949833e-29,1.39124251475051e-26,55.8066741786016
"1560697_at",-2.5081002800509,2.68593838289256,-14.9366374256393,3.74756991546352e-29,1.45318003636857e-26,55.7565872392977
"231067_s_at",-3.49620276905373,3.09669931817355,-14.926343133564,3.95563866247315e-29,1.52306016810366e-26,55.7031788938028
"228802_at",-3.10723404935237,3.29985696159504,-14.9215628217275,4.05616403027995e-29,1.55084453395494e-26,55.6783739065471
"241764_at",-2.01399234939084,2.61330976223967,-14.86345635267,5.50403875871453e-29,2.08981471619942e-26,55.3766574760088
"226911_at",-2.8222755891793,3.9357123226281,-14.8478652058581,5.97418328593273e-29,2.25267911143705e-26,55.2956373111484
"235927_at",2.73080951968948,6.51434103115702,14.8377856076571,6.29938141243523e-29,2.35903204606093e-26,55.2432439238956
"1557832_at",-4.97104899575,3.2622082676281,-14.8320518850106,6.49223832195819e-29,2.41471517178955e-26,55.2134352509311
"209614_at",-5.33770648625848,4.10183294436364,-14.8138134783091,7.14600755245932e-29,2.63991866845076e-26,55.1185927701952
"239982_at",-2.16503226324378,3.64038109950413,-14.767573896174,9.11539776479173e-29,3.34486156234891e-26,54.8779765182933
"200671_s_at",-2.75211071360294,2.99676577965289,-14.7662891384059,9.17728525731845e-29,3.34512047629257e-26,54.8712877048127
"220357_s_at",-1.92940211683654,3.15282839184298,-14.76307839714,9.33379898774608e-29,3.37963880566237e-26,54.8545708872854
"222161_at",-2.70328941558484,2.72303680409917,-14.753446476649,9.81958756726035e-29,3.53128459541145e-26,54.8044152689921
"227243_s_at",-3.54568007701244,3.2886241658843,-14.752247967548,9.88178405300324e-29,3.53128459541145e-26,54.79817364995
"1555854_at",-4.5452997653603,3.19829864167769,-14.7010183432771,1.29451577021459e-28,4.5959512815898e-26,54.531233014656
"1559901_s_at",-2.56615612291912,3.24346790469421,-14.6950948587467,1.33559516908208e-28,4.71120424964921e-26,54.5003493361952
"215039_at",-4.70884644214536,4.17009457199174,-14.6830787626183,1.42299098697815e-28,4.98730975724554e-26,54.4376885334898
"230003_at",-4.90536886623529,4.66329300058678,-14.6526918593389,1.67049074511253e-28,5.81745741968327e-26,54.2791592368152
"205610_at",-2.65439972213574,4.19284959828926,-14.6485833993249,1.70711683411445e-28,5.90738056362072e-26,54.2577176567221
"227178_at",-2.91100894196493,4.28632273059504,-14.5490432987763,2.88872411183009e-28,9.93339564869874e-26,53.737676843216
"210964_s_at",-5.28952975067082,4.01302955661984,-14.5433413332593,2.97718312917921e-28,1.01735929742421e-25,53.7078553124146
"243225_at",-2.87181905125792,3.61253582183471,-14.5384681451522,3.05493651640333e-28,1.03744505611399e-25,53.6823655909063
"1553583_a_at",-3.24423271080204,4.65266010485124,-14.4659572637774,4.48465534576267e-28,1.5042854664391e-25,53.3027933624288
"238613_at",-2.86878971902828,3.92353950346281,-14.4088460682098,6.07032462153552e-28,2.02374999196618e-25,53.0034450778089
"242313_at",-2.00094448418439,2.78048418106612,-14.37428538547,7.29203074204133e-28,2.41631382315824e-25,52.8221302290779
"205289_at",-2.41473449863179,3.07179457253719,-14.3459046587023,8.47781974566762e-28,2.79231803972516e-25,52.6731446078313
"239272_at",-3.55221032056561,3.36662950133058,-14.3329643292971,9.08095695073878e-28,2.97306180408169e-25,52.6051863034174
"209840_s_at",-3.74139149840668,3.27938495247107,-14.3203927040006,9.70813115882905e-28,3.15947661374392e-25,52.5391478053642
"221104_s_at",-2.40100545961934,2.66033441565289,-14.3119387964903,1.01541491729691e-27,3.28507755048571e-25,52.4947304656582
"202178_at",2.68367106030373,6.29248826758678,14.3040865658094,1.05868272949486e-27,3.40491048441948e-25,52.4534678041664
"208510_s_at",-4.7380466743224,4.40509549847934,-14.252398479795,1.39355605763315e-27,4.45571213164284e-25,52.1816949290283
"1559942_at",-3.35694009093665,3.41104686989256,-14.2513015556035,1.40171178625968e-27,4.45573208800859e-25,52.1759244164537
"210089_s_at",-2.72662132778507,5.08031003256198,-14.2271101559484,1.59427261144083e-27,5.02065964351122e-25,52.0486313589202
"221142_s_at",-2.60836784811369,3.26369081157851,-14.2266954113696,1.59779566158382e-27,5.02065964351122e-25,52.0464484914862
"209209_s_at",-3.53141061798133,4.15187295376859,-14.214156679763,1.70807567849893e-27,5.33651644125308e-25,51.9804469141495
